product_id,video_url,content_url,video_title,parent_title,aspects
B07CP39T8G,https://www.amazon.com/vdp/19b8787727ba438daa6cef56150a13f2?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/c7bdd122-6488-50cb-87e5-f6e1c3505c4e/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,This is Awesome,"Nespresso Capsules - Nespresso Pods 10 VARIETY SAMPLER PACK, Nespresso Original Compatible Espresso Pods with Extra Strong, Colombian, Cuban & Costa Rican Blends (100 Capsules)","{'Brand': 'U Joe', 'Item Form': 'Capsule', 'Flavor': '10 PACK SAMPLER'}"
B077V3RTZV,https://www.amazon.com/vdp/d9a44cee8f844cbe9995c33ab5f805ad?ref=dp_vse_rvc_2,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/566114e5-b780-59dd-a8a3-32f65ee3a41a/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Lorissa's Kitchen Premium Chicken Cuts,Golden Island Korean BBQ Pork 4Pack (14.5 oz Each),"{'Brand': 'Golden Island', 'Flavor': 'Barbecue'}"
B0B5F9VQ1L,https://www.amazon.com/vdp/06be8048918a4814adab3f28ef75590f?ref=dp_vse_rvc_3,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/715aa703-80ea-5393-9cc0-98a1d958f473/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Get Poppin’ this Fourth of July with Strawberry Firecracker Slushies,"POP ROCKS Popping Candy, Grape, 0.33 oz, 24 Count","{'Brand': 'Pop Rocks', 'Flavor': 'Grape', 'Item Form': 'Rock'}"
B00679HRUY,https://www.amazon.com/vdp/10a580b92fbe450c9ea07c5c8ebaaa15?ref=dp_vse_rvc_1,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/a04a0be4-ed68-539e-8120-b62f4cb13cfc/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,"Lavazza Tierra! Whole Bean Coffee Blend, Medium Roast, 2.2-Pound Bag",Segafredo Casa Whole Beans Coffee 2 Packs 17.6oz/500g Each,"{'Brand': 'Segafredo', 'Item Form': 'Whole Bean', 'Flavor': 'Espresso'}"
B07WHDVZ5B,https://www.amazon.com/vdp/e4f21e917f834425a2d1184fecb7111f?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/131c017a-4b57-5f3f-8b64-71bc85438248/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Video,"Clif Whole Lotta - Roasted Peanut Chocolate - Organic Protein Bars, Fruit & Nut & Seed Bars - Gluten Free & Vegan Snacks (1.98 oz Protein Bars, 12 Count)","{'Flavor': 'Roasted Peanut Chocolate', 'Diet Type': 'Vegan', 'Brand': 'Clif Bar'}"
B07WHDVZ5B,https://www.amazon.com/vdp/2840e8a2d508404d978cc880d2a1f8c0?ref=dp_vse_rvc_7,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/98b2e978-09e1-5086-8b47-406aaa4a36a5/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,"[‎2/‎15/‎2018 11:11 AM] K, Jaichandranath:  ZonePerfect Nutrition Snack Bars","Clif Whole Lotta - Roasted Peanut Chocolate - Organic Protein Bars, Fruit & Nut & Seed Bars - Gluten Free & Vegan Snacks (1.98 oz Protein Bars, 12 Count)","{'Flavor': 'Roasted Peanut Chocolate', 'Diet Type': 'Vegan', 'Brand': 'Clif Bar'}"
B07D49K5GP,https://www.amazon.com/vdp/82ea16f952c948b09ffbdb2523bf0582?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/fe55ef72-a0fa-5915-8b93-8cca75ce1c8d/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,"Blue Bunny Peanut Butter Load'd Sundaes Ice Cream Cup, 8.5 fl oz (frozen)","Blue Bunny Vanilla Fudge Brownie , 6pk","{'Brand': 'Blue Bunny', 'Flavor': 'Vanilla Fudge Brownie', 'Item Form': 'Cream'}"
B07D49K5GP,https://www.amazon.com/vdp/7281af7b055c447093458edcb89502d3?ref=dp_vse_rvc_1,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/f5e0a05a-225e-5739-8c87-a858d0c08be4/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,"Ben & Jerry's Ice Cream, Boom Chocolatta! Cookie Core, 16 oz","Blue Bunny Vanilla Fudge Brownie , 6pk","{'Brand': 'Blue Bunny', 'Flavor': 'Vanilla Fudge Brownie', 'Item Form': 'Cream'}"
B0BCV5S2R3,https://www.amazon.com/vdp/b1995370f92e422fb53b6169f5a4e1d1?ref=dp_vse_rvc_4,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/94ac9726-86b7-54c8-bfd0-4bb2137d07da/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,443,GLORYBREW - 36 K Cup Variety Pack - Premium Compostable Keurig Coffee Pods - Rainforest Alliance Certified Medium & Dark Roasts Biodegradable,"{'Brand': 'Glorybrew', 'Item Form': 'K-Cups'}"
B07R5PTR5V,https://www.amazon.com/vdp/24e49d4a537a4f03987cc04747445920?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/367ff691-c1cf-5601-a4f5-d19a44409727/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Wildway: The Snack Mix that Goes Where You Go,"Wildway Fruit & Nut Snack Mix | Lemon Blueberry | Certified Gluten-Free, Grain-Free, Paleo, Non-GMO, No Added Sugars or Extracts - 6pk","{'Brand': 'Wildway', 'Flavor': 'Lemon Blueberry'}"
