product_id,video_url,content_url,video_title,parent_title,aspects
B00G5QRQMI,https://www.amazon.com/vdp/9988610d383740f9a25d29d6fa42b677?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/f13d1789-20db-5365-80e2-ff3f27f84a8a/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,"Omix-ADA 13516.14 Bracket, Soft Top Bow, Right, 1&4, 4Dr; 07-12 JKU, 1 Pack","4 eaKIT 1997 to 2014 TJ and JK Jeep Wrangler Soft Top Mounting Screws,Roll Bar To Soft Top Frame Mounts","{'Material': 'Metal', 'Drive System': 'Torx', 'Metal Type': 'Alloy Steel', 'Brand': 'Jeep Bay'}"
B07559HHR3,https://www.amazon.com/vdp/e7dfe1dae67942ac8b6ab6e381bca2e5?ref=dp_vse_rvc_5,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/64a6cc42-2ea0-52eb-ae44-bd36e2a9986d/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Motorcycle Cover Waterproof Outdoor Sunblock Dustproof XXXL,"AlleTechPlus Waterproof Motorcycle Cover, Fits up to 97"" Motors, 2 Lock-holes Design, All Weather Protection, Anti-theft, Durable & Tear Proof (Black-XXXL)","{'Color': 'Black-XXXL', 'Material': 'Polyester'}"
B07FQGVYFY,https://www.amazon.com/vdp/15d484e9250b4262bf7cfa6e724d00c1?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/52714d3f-962d-56cd-82fe-256c118935c4/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Red strobe light,Aolyty Solar Strobe Warning Light 360 Degree Single Column Super Bright Waterproof IP48 for Construction Traffic Dock Marine Light Control Flashing (Red),"{'Color': 'Red', 'Shape': 'Cone', 'Material': 'Plastic', 'Light Source Type': 'LED', 'Power Source': 'Solar Powered', 'Brand': 'Aolyty'}"
B07FQGVYFY,https://www.amazon.com/vdp/31007a8e0511400d861f611e6fd00263?ref=dp_vse_rvc_3,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/7a358eba-6e7c-53ac-9ce5-2a6fef272b74/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Amber strobe light,Aolyty Solar Strobe Warning Light 360 Degree Single Column Super Bright Waterproof IP48 for Construction Traffic Dock Marine Light Control Flashing (Red),"{'Color': 'Red', 'Shape': 'Cone', 'Material': 'Plastic', 'Light Source Type': 'LED', 'Power Source': 'Solar Powered', 'Brand': 'Aolyty'}"
B07FQGVYFY,https://www.amazon.com/vdp/c4a73ce2a0ac4fbcba0ba9ec725887ff?ref=dp_vse_rvc_7,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/3dea0954-1d75-56bc-b15e-38c641c0035b/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,Red LED Strobe light,Aolyty Solar Strobe Warning Light 360 Degree Single Column Super Bright Waterproof IP48 for Construction Traffic Dock Marine Light Control Flashing (Red),"{'Color': 'Red', 'Shape': 'Cone', 'Material': 'Plastic', 'Light Source Type': 'LED', 'Power Source': 'Solar Powered', 'Brand': 'Aolyty'}"
B07WW8H4SL,https://www.amazon.com/vdp/d8ddbcc8dc624bc7832460b908ced458?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/5ba01890-bcb6-50df-b3d4-d9ad46b96981/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,High Road TissuePockets Car Seat Back Organizer and Tissue Holder (Sahara),High Road TissuePockets Backseat Organizer with Tissue Compartment and Cup Holder Bin (Sahara),"{'Material': 'Polyester', 'Color': 'Sahara', 'Brand': 'High Road', 'Mounting Type': 'Floor Mount', 'Shape': 'Rectangular', 'Package Type': 'Standard Packaging'}"
B07SJVBYZS,https://www.amazon.com/vdp/1532e5eded0d4b0b81a67af2523ba02f?ref=dp_vse_rvc_1,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/c787984e-3c49-562b-b17f-2a73f08b9296/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,ARES 70149 | 3/8-Inch Drive Aluminum Socket Organizer,ABN Black Aluminum SAE Standard 3/8in Drive Socket Holder – Socket Rail and Clips Tool Organizer,"{'Brand': 'ABN', 'Material': 'Metal', 'Color': 'Black'}"
B0C1XM4YJT,https://www.amazon.com/vdp/1444bdf7aa7d4bca8f98147fd55ce9c4?ref=dp_vse_rvc_1,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/13723bd6-a9fa-5cec-8afb-b57d1a7c093f/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,3M 08579 Leather & Vinyl Repair Kit,Pelle Patch - Leather & Vinyl Adhesive Repair Patch - 25 Colors Available - Original 8x11 - Medium Green,"{'Color': 'Green Medium', 'Brand': 'Pelle Patch', 'Material': 'Leather', 'Shape': 'Rectangular', 'Mounting Type': 'Self-Adhesive'}"
B0892S6XVR,https://www.amazon.com/vdp/b416b4e5035843a8bf0bec1454f506df?ref=dp_vse_rvc_4,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/7cc4b014-4e44-5a61-aafb-446c359531a8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,33-Series Performance Video,"PowerMax's Shurflo 4008 |101-A65/E65 |12V 3 Gallon RV replacement water pump | 3 Gallons per Minute | 55 psi, Lightweight, Non-Potable","{'Power Source': 'Ac/dc', 'Brand': 'Powermax'}"
B01BCMCRG4,https://www.amazon.com/vdp/c709c637e40a4053aa4994b7001e699b?ref=dp_vse_rvc_0,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/bb542a8a-6444-5b8a-8c34-5b65af214f16/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4,"VViViD Wood-grain architectural vinyls: How to install fast, easy and clean!",VVIVID High Gloss Red Cedar Striped Wood Grain Faux Finish Textured Vinyl Wrap Roll Sheet Film for Home Office Furniture DIY No Mess Easy to Install Air-Release Adhesive (20ft x 48 Inch),"{'Material': 'Vinyl', 'Brand': 'VViViD'}"
